date,btc_close,btc_volume,fear_greed_value,fear_greed_label,btc_daily_return,positive_return,is_holiday,holiday_name,high_volatility
2025-04-18,84474.69,6529.96315,33,Fear,-0.005570707978571843,0,0,Good Friday,0
2025-07-01,105681.14,10505.62437,64,Greed,-0.013676228341569674,0,0,Canada Day,0
2025-09-01,109237.42,16053.60219,46,Fear,0.009155689776144893,1,0,Labor Day,0
2025-12-25,87225.27,7096.58235,23,Extreme Fear,-0.00506653115766087,0,0,Christmas Day,0
2026-01-01,88839.04,6279.57133,20,Extreme Fear,0.013586356916318376,1,0,New Year's Day,0
